排名,代码,名称,所属行业,主题标签,流通市值(亿),参考总市值(亿),市值状态,市值数据源,市值快照日期,筹码结构,启动评分,启动判断,极度推荐分,极度推荐理由,涨停基因分,涨停基因状态,涨停基因说明,动能协同,推荐度,基础策略分,市场评分,市场状态,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,严格匹配度,严格评级,关注理由,最新价,今日涨跌%,今日状态,收盘交易状态,激进买点,保守买点,激进止损,保守止损,激进止盈,保守止盈,激进周期,保守周期,计划依据,T+1开盘应对,MA5,MA10,MA20,MA60,20日平台高,20日低点,ATR14,DIF,DEA,MACD柱,MACD零轴,RSI14,RSI状态,K值,D值,J值,KDJ状态,近一年涨停次数,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),极度推荐,极度推荐排名
25,002081,金螳螂,暂无同日行业数据,未分类,,,未取得市值,,,65/100｜筹码结构较好,76.7,近期缩量充分；死叉距连续两天改善；RSI回升,77.2,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中86%；偏强上涨｜谨防追高；当前量能温和放大,86.1,强涨停基因,250日涨停21次；近60日6次；距最近涨停14日；历史涨停后3日≥3%命中86%；历史涨停后3日≥5%命中81%,RSI 中性｜KDJ 多头｜MACD 中性,61.8,57.4,61.9,震荡偏强，精选个股,53.0,1.78,2.92,-4.57,78.6,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.54，前期有明显缩量，而当前量比约1.20，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有21次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。,4.92,2.5,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.11~5.11（承接/回踩）,6.18~6.25（突破确认）,4.95,5.91,6.16 / 6.16,6.60 / 6.88,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.54，说明前期有较明显的量能收缩。今日量比约1.20，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.81,4.99,5.24,4.55,6.16,4.61,0.351,-0.015,0.085,-0.199,跨零轴,48.42,中性,19.16,18.81,19.86,多头,21,1.2,0.54,-4.47,4.32,95793.09,,
26,000402,金融街,暂无同日行业数据,未分类,,,未取得市值,,,57/100｜筹码结构中性,70.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日上涨偏快,65.3,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中80%；偏强上涨｜谨防追高；前期缩量结构较好,48.0,一般涨停基因,250日涨停5次；距最近涨停96日；历史涨停后3日≥3%命中80%；历史涨停后3日≥5%命中80%,RSI 中性｜KDJ 多头｜MACD 趋强,61.6,56.8,61.9,震荡偏强，精选个股,56.3,2.14,2.64,2.33,68.5,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.4%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.62，量能处于收缩状态，但当前量比约2.07，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。,2.52,2.86,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,2.50~2.52（承接/回踩）,2.82~2.83（突破确认）,2.46,2.76,2.81 / 2.81,2.92 / 2.98,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.62，说明前期有较明显的量能收缩。今日量比约2.07，放量程度需要继续观察。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.011。,明显高开：不追高，优先等待回踩参考买入区并确认承接,2.46,2.51,2.52,2.48,2.81,2.4,0.081,-0.01,0.001,-0.021,跨零轴,50.98,中性,26.47,22.62,34.17,多头,5,2.07,0.62,2.44,2.86,15637.32,,
27,002546,新联电子,暂无同日行业数据,电子,,,未取得市值,,,59/100｜筹码结构中性,96.1,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；RSI回升；推荐日未明显追涨,78.4,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中100%；温和上涨；前期缩量结构较好；当前量能温和放大,65.9,中强涨停基因,250日涨停8次；近60日2次；距最近涨停41日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中75%,RSI 中性｜KDJ 多头｜MACD 趋强,61.5,45.0,61.9,震荡偏强，精选个股,50.0,0.75,1.13,-4.62,92.9,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.68，前期有明显缩量，而当前量比约1.27，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,7.61,1.47,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,7.73~7.73（承接/回踩）,8.11~8.15（突破确认）,7.66,8.00,8.09 / 8.09,8.30 / 8.42,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.68，说明前期有较明显的量能收缩。今日量比约1.27，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.024。,明显高开：不追高，优先等待回踩参考买入区并确认承接,7.52,7.6,7.78,7.96,8.09,7.41,0.151,-0.161,-0.137,-0.048,下方,42.35,中性,26.93,20.61,39.58,多头,8,1.27,0.68,-4.52,1.47,7748.52,,
28,600743,华远控股,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,71.1,近期缩量充分；死叉距连续两天改善；RSI回升,74.3,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中100%；温和上涨；前期缩量结构较好,59.0,中强涨停基因,250日涨停7次；距最近涨停63日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中86%,RSI 中性｜KDJ 多头｜MACD 趋强,61.5,49.8,61.9,震荡偏强，精选个股,51.8,1.21,2.62,-5.04,74.4,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.71，前期有明显缩量，而当前量比约1.66，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,2.12,1.92,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,2.15~2.15（承接/回踩）,2.48~2.49（突破确认）,2.11,2.42,2.47 / 2.47,2.58 / 2.64,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.71，说明前期有较明显的量能收缩。今日量比约1.66，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.012。,明显高开：不追高，优先等待回踩参考买入区并确认承接,2.07,2.11,2.18,2.16,2.47,2.0,0.082,-0.04,-0.029,-0.023,下方,45.98,中性,32.39,23.88,49.4,多头,7,1.66,0.71,-4.93,3.76,8680.32,,
29,603327,福蓉科技,暂无同日行业数据,未分类,,,未取得市值,,,61/100｜筹码结构较好,82.7,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,73.1,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中100%；低位震荡/轻微回落；当前量能温和放大,66.0,中强涨停基因,250日涨停8次；近60日2次；距最近涨停46日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中62%,RSI 中性｜KDJ 多头｜MACD 中性,61.1,48.9,61.9,震荡偏强，精选个股,45.4,-0.36,0.32,-9.97,79.0,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-9.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.46，前期有明显缩量，而当前量比约1.05，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,8.41,0.36,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,8.95~8.95（承接/回踩）,10.53~10.60（突破确认）,8.80,10.28,10.50 / 10.50,10.94 / 11.21,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.46，说明前期有较明显的量能收缩。今日量比约1.05，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.34,8.6,9.07,8.8,10.5,8.17,0.339,-0.219,-0.113,-0.213,下方,37.76,中性,13.23,11.37,16.96,多头,8,1.05,0.46,-9.86,1.22,12179.13,,
30,603567,珍宝岛,暂无同日行业数据,未分类,,,未取得市值,,,60/100｜筹码结构较好,87.1,近期缩量充分；死叉距连续两天改善；推荐日未明显追涨,80.1,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中100%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,68.7,中强涨停基因,250日涨停7次；近60日7次；距最近涨停30日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中57%,RSI 中性｜KDJ 多头｜MACD 趋强,61.0,47.2,61.9,震荡偏强，精选个股,47.5,-0.91,1.35,-6.13,91.1,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-6.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.59，前期有明显缩量，而当前量比约1.23，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,5.3,-0.19,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.46~5.46（承接/回踩）,6.01~6.04（突破确认）,5.38,5.88,5.99 / 5.99,6.22 / 6.36,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.59，说明前期有较明显的量能收缩。今日量比约1.23，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.020。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.29,5.38,5.52,5.72,5.99,5.13,0.175,-0.202,-0.183,-0.039,下方,41.41,中性,25.96,23.74,30.39,多头,7,1.23,0.59,-6.03,2.48,10096.82,TOP5,4
31,002437,誉衡药业,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,82.7,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,72.9,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中67%；温和上涨；当前量能温和放大,68.9,中强涨停基因,250日涨停9次；近60日8次；距最近涨停15日；历史涨停后3日≥3%命中67%；历史涨停后3日≥5%命中56%,RSI 中性｜KDJ 多头｜MACD 中性,60.0,48.6,61.9,震荡偏强，精选个股,41.6,0.45,0.2,-20.34,84.3,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-20.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.50，前期有明显缩量，而当前量比约1.25，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,3.47,1.17,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,3.85~3.85（承接/回踩）,4.87~4.93（突破确认）,3.73,4.67,4.86 / 4.86,5.20 / 5.42,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.50，说明前期有较明显的量能收缩。今日量比约1.25，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,3.43,3.58,3.95,3.49,4.86,3.3,0.273,-0.113,-0.001,-0.223,下方,43.32,中性,13.89,11.97,17.72,多头,9,1.25,0.5,-20.23,2.03,101104.77,,
32,600708,光明地产,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,95.1,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；RSI回升,70.5,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中83%；温和上涨；前期缩量结构较好；当前量能温和放大,43.7,一般涨停基因,250日涨停6次；距最近涨停63日；历史涨停后3日≥3%命中83%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 多头｜MACD 趋强,59.8,44.3,61.9,震荡偏强，精选个股,52.7,1.3,1.2,-0.11,88.1,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.68，前期有明显缩量，而当前量比约1.21，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,3.04,2.01,温和上涨,价格仍在20日线上方，但结构优势有限，等待进一步确认,3.01~3.04（承接/回踩）,3.23~3.25（突破确认）,2.96,3.16,3.22 / 3.24,3.34 / 3.42,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“弱趋势”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.68，说明前期有较明显的量能收缩。今日量比约1.21，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.003。,明显高开：不追高，优先等待回踩参考买入区并确认承接,2.98,3.03,3.04,3.11,3.22,2.91,0.093,-0.03,-0.027,-0.006,下方,48.96,中性,28.6,27.48,30.85,多头,6,1.21,0.68,0.0,2.28,4639.94,,
33,600266,城建发展,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,76.2,近期缩量充分；死叉距开始改善；RSI回升,67.7,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中100%；温和上涨；前期缩量结构较好,55.3,一般涨停基因,250日涨停7次；近60日1次；距最近涨停27日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中57%,RSI 中性｜KDJ 多头｜MACD 趋强,59.8,49.1,61.9,震荡偏强，精选个股,52.9,1.73,0.93,-0.35,71.7,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-0.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.66，前期有明显缩量，而当前量比约1.63，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.1%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于跨零轴区域。,4.18,2.45,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.17~4.20（承接/回踩）,4.56~4.59（突破确认）,4.08,4.46,4.55 / 4.55,4.73 / 4.84,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.66，说明前期有较明显的量能收缩。今日量比约1.63，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.020。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.1,4.19,4.19,4.11,4.55,4.0,0.136,-0.014,0.006,-0.039,跨零轴,49.9,中性,24.34,24.03,24.95,多头,7,1.63,0.66,-0.24,3.06,15198.89,,
34,600626,申达股份,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,83.1,短均线开始抬头；死叉距连续两天改善；推荐日未明显追涨,69.1,死叉修复｜强；偏弱涨停基因；历史涨停后3日≥3%命中80%；低位震荡/轻微回落；当前量能温和放大,38.3,偏弱涨停基因,250日涨停5次；距最近涨停87日；历史涨停后3日≥3%命中80%；历史涨停后3日≥5%命中60%,RSI 偏强｜KDJ 多头｜MACD 趋强,59.7,47.4,61.9,震荡偏强，精选个股,53.2,-1.26,2.71,4.44,88.7,强匹配,当前仍站在20日线之上，20日线相对60日线高约5.6%，但短线均线结构还不算特别强。近20日上涨约4.5%，近5日约2.5%，上涨速度相对温和，没有明显进入加速末端。近期量能没有明显收缩，5/20成交量比约1.03，因此“底部缩量”的特征并不突出。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,3.68,-0.54,低位震荡/轻微回落,接近阶段平台高点，重点观察放量突破是否成立,3.63~3.66（承接/回踩）,3.77~3.79（突破确认）,3.56,3.69,3.79 / 3.89,3.90 / 3.98,若突破成立，最早T+1观察，通常约3个交易日评估一次,等待突破确认后，最早T+1观察，预计3~5个交易日,价格距离20日平台高点约2.2%，已经进入突破敏感区，因此保守方案要求价格站稳平台上方，而不是提前猜突破。5/20成交量比约1.03，量能收缩特征一般。今日量比约1.09，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.008。,明显高开：不追高，优先等待回踩参考买入区并确认承接,3.63,3.65,3.64,3.45,3.76,3.49,0.106,0.034,0.043,-0.017,上方,55.29,偏强,54.4,48.32,66.57,多头,5,1.09,1.03,4.55,3.64,4170.49,,
35,600433,冠豪高新,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,96.1,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；RSI回升；推荐日未明显追涨,71.4,死叉修复｜强；偏弱涨停基因；历史涨停后3日≥3%命中67%；温和上涨；前期缩量结构较好；当前量能温和放大,36.5,偏弱涨停基因,250日涨停6次；距最近涨停97日；历史涨停后3日≥3%命中67%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 多头｜MACD 趋强,58.4,41.7,61.9,震荡偏强，精选个股,51.0,0.2,0.51,0.5,94.6,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.74，前期有明显缩量，而当前量比约1.03，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,3.31,0.91,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,3.33~3.33（承接/回踩）,3.50~3.52（突破确认）,3.30,3.44,3.49 / 3.51,3.60 / 3.66,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.74，说明前期有较明显的量能收缩。今日量比约1.03，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.014。,明显高开：不追高，优先等待回踩参考买入区并确认承接,3.28,3.33,3.36,3.3,3.49,3.18,0.08,-0.017,-0.003,-0.028,下方,47.51,中性,36.11,33.65,41.03,多头,6,1.03,0.74,0.61,2.38,6900.69,,
36,002678,珠江钢琴,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,68.7,近期缩量充分；死叉距连续两天改善；推荐日未明显追涨,57.9,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中70%；低位震荡/轻微回落；当前量能温和放大,45.8,一般涨停基因,250日涨停10次；距最近涨停110日；历史涨停后3日≥3%命中70%；历史涨停后3日≥5%命中40%,RSI 中性｜KDJ 空头｜MACD 中性,58.4,51.5,61.9,震荡偏强，精选个股,40.3,-1.86,-2.27,-11.54,81.4,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-11.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.51，前期有明显缩量，而当前量比约1.37，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,4.34,-1.14,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.68~4.68（承接/回踩）,5.36~5.40（突破确认）,4.59,5.20,5.34 / 5.34,5.60 / 5.77,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.51，说明前期有较明显的量能收缩。今日量比约1.37，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.37,4.52,4.75,4.49,5.34,4.26,0.207,-0.091,-0.018,-0.146,下方,37.74,中性,15.43,18.65,8.97,空头,10,1.37,0.51,-11.43,1.48,4364.45,,
37,000006,深振业A,暂无同日行业数据,未分类,,,未取得市值,,,65/100｜筹码结构较好,91.1,近期缩量充分；短均线开始抬头；死叉距连续两天改善；RSI回升；推荐日上涨偏快,72.6,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中88%；偏强上涨｜谨防追高；前期缩量结构较好；当前量能温和放大,61.2,中强涨停基因,250日涨停8次；近60日1次；距最近涨停26日；历史涨停后3日≥3%命中88%；历史涨停后3日≥5%命中88%,RSI 中性｜KDJ 多头｜MACD 趋强,58.2,49.8,61.9,震荡偏强，精选个股,55.7,2.05,3.27,-0.11,83.5,较强匹配,当前仍站在20日线之上，20日线相对60日线高约2.6%，但短线均线结构还不算特别强。近20日上涨约0.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.62，前期有明显缩量，而当前量比约1.31，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,7.06,2.77,偏强上涨｜谨防追高,价格仍在20日线上方，但结构优势有限，等待进一步确认,6.97~6.99（承接/回踩）,7.82~7.87（突破确认）,6.87,7.65,7.80 / 7.80,8.10 / 8.29,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“弱趋势”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.62，说明前期有较明显的量能收缩。今日量比约1.31，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.031。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.82,6.97,7.05,6.87,7.8,6.58,0.234,-0.039,-0.008,-0.063,下方,51.63,中性,30.37,22.58,45.96,多头,8,1.31,0.62,0.0,3.52,10426.16,,
38,002506,协鑫集成,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,64.2,近期缩量充分；死叉距开始改善；RSI回升；推荐日上涨偏快,67.9,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中79%；偏强上涨｜谨防追高；前期缩量结构较好；当前量能温和放大,60.6,中强涨停基因,250日涨停14次；距最近涨停90日；历史涨停后3日≥3%命中79%；历史涨停后3日≥5%命中79%,RSI 中性｜KDJ 多头｜MACD 趋强,57.7,55.5,61.9,震荡偏强，精选个股,49.9,2.18,-0.59,-4.7,71.1,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.61，前期有明显缩量，而当前量比约1.18，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有14次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于下方区域。,2.49,2.89,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,2.57~2.57（承接/回踩）,2.88~2.90（突破确认）,2.53,2.81,2.87 / 2.87,2.99 / 3.07,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.61，说明前期有较明显的量能收缩。今日量比约1.18，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.014。,明显高开：不追高，优先等待回踩参考买入区并确认承接,2.47,2.52,2.6,2.64,2.87,2.39,0.096,-0.058,-0.044,-0.029,下方,43.35,中性,24.04,21.75,28.61,多头,14,1.18,0.61,-4.6,2.89,49115.28,,
